phase_id,code,severity,count
P12,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,2
P13,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,3
P13,TASK_DECLARED_DECISION_LARGE,warning,6
P14,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,7
P14,TASK_CONTEXT_PACK_LARGE,warning,3
P14,TASK_DECLARED_DECISION_LARGE,warning,8
P19,TASK_CONTEXT_PACK_LARGE,warning,1
P20,TASK_CONTEXT_PACK_LARGE,warning,1
P3,TASK_CONTEXT_PACK_LARGE,warning,1
P31,TASK_CONTEXT_PACK_LARGE,warning,1
P32,TASK_CONTEXT_PACK_LARGE,warning,1
P33,TASK_CONTEXT_PACK_LARGE,warning,1
P34,TASK_CONTEXT_PACK_LARGE,warning,1
P46,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,1
P47,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,2
P48,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,2
P49,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,1
P50,TASK_CONTEXT_BUDGET_UNACHIEVABLE,warning,1
